"Gene"	"Mean log2 fold change Rep1"	"Variance Rep1"	"Mean log2 fold change Rep2"	"Variance Rep2"
"CAGL0J04928g"	0.492747294746574	0.0227076975654992	0.30430457822646	0.0236921232446482
"CAGL0K08294g"	0.0546911375944366	0.0509168093181612	0.110175941331854	0.0586571495355228
"CAGL0C03674g"	-0.26608087326045	0.095913457103691	-0.239524114687242	0.0817810513726879
"CAGL0I04488g"	0.235019085896591	0.0417451258033468	-0.050520809563072	0.0693718408444853
"CAGL0L02871g"	0.617677565089287	0.0289213380585637	0.381128452716621	0.0166159678258713
"CAGL0F06699g"	-0.297438348667057	0.0191982221616679	0.219462662405674	0.0803075044709777
"CAGL0K05093g"	-0.237450219742559	0.0346682957898858	-0.23393641905166	0.0327460576095049
"CAGL0G04279g"	-0.142315142950733	0.142687801488307	0.206902145838618	0.0455903808263546
"CAGL0G09152g"	-0.228069391063692	0.00595249899093562	-0.335296275721328	0.0117921590776382
"CAGL0B04917g"	0.182184113466636	0.0245922662737965	0.154238923859997	0.0174392477303574
"CAGL0D03410g"	0.116644103386638	0.013632318399623	0.228045941814182	0.114338149720238
"CAGL0I03234g"	0.577259631949629	0.0112326504067994	0.0946999096519572	0.00892913072821819
"CAGL0H01045g"	0.0963901503963445	0.00669685719097533	-0.196324579359604	0.0132713234341911
"CAGL0C03201g"	-0.102665966452661	0.0600074381897856	0.113344618165978	0.0838624015612027
"CAGL0K01749g"	-0.427689529512506	0.0896098188228347	0.338033323876011	0.0859765945598645
"CAGL0B03487g"	0.0112708025080097	0.0204959336522677	0.302549795108763	0.0881644344020558
"CAGL0G06820g"	-0.208713816750999	0.0775133249273076	0.105690827254409	0.0364290328523435
"CAGL0H09130g"	-0.138142386105058	0.0767163784201071	-0.350559915959363	0.0889135948183039
"CAGL0K08206g"	1.23137625356644	0.0910745637641854	1.1156529198984	0.0448297691470699
"CAGL0L00715g"	0.177697546168476	0.0194372970432828	-0.187601281507299	0.0241215159104832
"CAGL0G02057g"	-0.798868411610245	0.0185488669391195	0.486695295732737	0.0620136292288796
"CAGL0D02926g"	-0.637760370446902	0.0128842938573981	0.279059594950641	0.0136670212215111
"CAGL0J06116g"	0.0727815498038356	0.0178798024020796	-0.280238919133025	0.0277461340217846
"CAGL0M04301g"	0.112185640092624	0.0101667902637762	0.171966251625309	0.00359461818540214
"CAGL0K01551g"	0.353046760973843	0.0298415712013303	0.346634045051106	0.00953749973364163
"CAGL0L12650g"	-0.0963303148500864	0.0361105294530483	-0.114583865626698	0.0301218708341601
"CAGL0J08459g"	0.0019651512029496	0.0229770832165383	-0.239218503386136	0.024967797894267
"CAGL0L09537g"	0.0995332701107066	0.0609936449684159	0.658787150599971	0.0669526642988657
"CAGL0H01661g"	0.455802356992	0.110705661172959	0.753393814305231	0.058856560256162
"CAGL0D03872g"	-0.407253263122396	0.00184830826040667	-0.174992295296325	0.0109076442542849
"CAGL0I06380g"	-0.0703153018969722	0.091340726216963	-0.133121255288982	0.084741009190845
"CAGL0L11440g"	-0.200083416069018	0.0297605146861249	-0.109227078452161	0.0215131593129104
"CAGL0F01793g"	1.01937951509985	0.0191759836280209	1.11463300873377	0.0273450750015634
"CAGL0J04356g"	0.283487376631705	0.0575831495789995	0.216356757073619	0.0579135241057383
